SOD31BLD_1_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD31BLD_2_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD31BLD_RESET|building wide sensor:BLD, reset variable:RESET, site:SOD
SOD31MAX_X_CVP|chilled water valve pressure:CVP, site:SOD
SOD31MAX___CVP|chilled water valve pressure:CVP, site:SOD
SOD31MAX___CVS|site:SOD
SOD31NET___STA|site:SOD, status sensor:STA
SOD31NET___TMR|site:SOD, timer variable:TMR
SOD32BLD_1_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD32BLD_2_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD32BLD_RESET|building wide sensor:BLD, reset variable:RESET, site:SOD
SOD32NET___STA|site:SOD, status sensor:STA
SOD32NET___TMR|site:SOD, timer variable:TMR
SOD33BLD_1_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD33BLD_2_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD33BLD_RESET|building wide sensor:BLD, reset variable:RESET, site:SOD
SOD33NET___STA|site:SOD, status sensor:STA
SOD33NET___TMR|site:SOD, timer variable:TMR
SOD34BLD_1_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD34BLD_2_VAR|building wide sensor:BLD, internal building variable:VAR, site:SOD
SOD34BLD_C_SAS|building wide sensor:BLD, site:SOD, supply air temp setpoint:SAS
SOD34BLD_RESET|building wide sensor:BLD, reset variable:RESET, site:SOD
SOD34MAX___CVP|chilled water valve pressure:CVP, site:SOD
SOD34NET___STA|site:SOD, status sensor:STA
SOD34NET___TMR|site:SOD, timer variable:TMR
SODA1ALL_31ARS|ahu:A, ahu-id:1, room temp setpoint:ARS, site:SOD
SODA1ALL_31NSB|ahu:A, ahu-id:1, site:SOD
SODA1ALL_32ARS|ahu:A, ahu-id:1, room temp setpoint:ARS, site:SOD
SODA1ALL_32NSB|ahu:A, ahu-id:1, site:SOD
SODA1ALL_33ARS|ahu:A, ahu-id:1, room temp setpoint:ARS, site:SOD
SODA1ALL_33NSB|ahu:A, ahu-id:1, site:SOD
SODA1ALL_34ARS|ahu:A, ahu-id:1, room temp setpoint:ARS, site:SOD
SODA1ALL_34NSB|ahu:A, ahu-id:1, site:SOD
SODA1C180__AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:180, site:SOD
SODA1C180__ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:180, site:SOD
SODA1C180__ART|ahu:A, ahu-id:1, room:C, room temp:ART, room-id:180, site:SOD
SODA1C180__ASO|ahu:A, ahu-id:1, room:C, room-id:180, site:SOD, temp setpoint off:ASO
SODA1C180__VAV|ahu:A, ahu-id:1, discharge air pressure sensor:VAV, room:C, room-id:180, site:SOD
SODA1C300B_AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:300B, site:SOD
SODA1C300B_ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:300B, site:SOD
SODA1C300B_ART|ahu:A, ahu-id:1, room:C, room temp:ART, room-id:300B, site:SOD
SODA1C300B_ASO|ahu:A, ahu-id:1, room:C, room-id:300B, site:SOD, temp setpoint off:ASO
SODA1C300B_VAV|ahu:A, ahu-id:1, discharge air pressure sensor:VAV, room:C, room-id:300B, site:SOD
SODA1C300__AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:300, site:SOD
SODA1C300__ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:300, site:SOD
SODA1C300__ART|ahu:A, ahu-id:1, room:C, room temp:ART, room-id:300, site:SOD
SODA1C300__ASO|ahu:A, ahu-id:1, room:C, room-id:300, site:SOD, temp setpoint off:ASO
SODA1C300__VAV|ahu:A, ahu-id:1, discharge air pressure sensor:VAV, room:C, room-id:300, site:SOD
SODA1C400ARVAV|ahu:A, ahu-id:1, room:C, room-id:400A, site:SOD, vav reheat discharge air pressure sensor:RVAV
SODA1C400A_AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:400A, site:SOD
SODA1C400A_ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:400A, site:SOD
SODA1C400A_ART|ahu:A, ahu-id:1, room:C, room temp:ART, room-id:400A, site:SOD
SODA1C400A_ASO|ahu:A, ahu-id:1, room:C, room-id:400A, site:SOD, temp setpoint off:ASO
SODA1C400BRVAV|ahu:A, ahu-id:1, room:C, room-id:400B, site:SOD, vav reheat discharge air pressure sensor:RVAV
SODA1C400B_AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:400B, site:SOD
SODA1C400B_ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:400B, site:SOD
SODA1C400B_ART|ahu:A, ahu-id:1, room:C, room temp:ART, room-id:400B, site:SOD
SODA1C400B_ASO|ahu:A, ahu-id:1, room:C, room-id:400B, site:SOD, temp setpoint off:ASO
SODA1C400C_AGN|ahu:A, ahu-id:1, pid loop gain:AGN, room:C, room-id:400C, site:SOD
SODA1C400C_ARS|ahu:A, ahu-id:1, room:C, room temp setpoint:ARS, room-id:400C, site:SOD
